id,genre,track_name,artist_name,valence,energy
4I2GqMe7L2ccMpUbnDzYLH,acoustic,Somebody To Love,Justin Bieber,0.272,0.678
51UNNIXG0vZrwB40N6qWOo,acoustic,Still in Love with You,Sade,-0.424,-0.02
3Ajt1YY9Q0LynMPm2xqqOc,acoustic,Just The Way You Are,Diana Krall,-0.078,-0.326
6mM3zAPOuNkNDytJCDGz96,acoustic,Naïve - BBC Radio 1's Jo Whiley's Live Lounge,Lily Allen,-0.14,-0.484
0v913JHU9h91rxpuDUNJxR,acoustic,Skyscraper (feat. Megan Nicole),Boyce Avenue,-0.146,-0.326
3fCJRE4P1uU8dcqEW5mnM6,acoustic,Staple It Together,Jack Johnson,0.572,0.588
5SdG78xwNRsjXmFGhm9Z8D,acoustic,Om du letar efter nån,Melissa Horn,0.316,-0.432
3k9qjgu8zVKTEuJVJIYyc0,acoustic,Just Breathe,Pearl Jam,-0.396,-0.302
2C1kuFV3lOQZ4O5FkyAaWI,acoustic,Northern Wind,City and Colour,-0.464,-0.646
4mT5mVFaU7trA3UdbGqfB9,acoustic,Gold Rush - Deluxe Edition,Ed Sheeran,0.778,-0.504
5rOHTPNcHiwhQYqNBpRW2x,afrobeat,1er Gaou - Version originale,Magic System,0.886,0.72
2XY16w5EeeqEbDgNkU4NnE,afrobeat,Din Din Wo,Habib Koité,0.772,0.608
4SfxzVkGFzgW0U83Y8brVk,afrobeat,Yala,Oumou Sangaré,0.824,0.782
4WJ9gxU84Kv9TSXWfGVpRC,afrobeat,Yori Yori,Bracket,0.896,0.586
3PIAWNKvcJc0EwwoyTVl6y,afrobeat,Hwehwe Mu Na Yi Wo Mpena,Various Artists,0.576,0.472
2bWs6hFVGp5YvDYCW1pW0Z,afrobeat,Sexy Ladies,Various Artists,-1,-1
6H0nXYPj3l6aSBtq7E6zkv,afrobeat,Ye Te Oh,Papa Wemba,0.376,0.494
6c5VC9m9r2X5gS4aXk8DO4,afrobeat,Conia,Cheikh Lô,0.318,0.336
1nS5B50pKajeniz9fCMDnH,afrobeat,Sorrow Tears & Blood,Fela Kuti,0.654,0.56
4ADxDfrGrTw6D1slX8wUVS,afrobeat,Redemption Song,Various Artists,0.144,0.058
1uIsJdRjJ1G2GEWZFjtpKq,alt-rock,Hold On Hope,Guided By Voices,-0.672,0.008
3yxivtl0NsPCexmEok42c2,alt-rock,Bury Our Friends,Sleater-Kinney,0.642,0.886
5s8zZQ9G7XOoJygkfCHQ2h,alt-rock,Where I'm From,Eels,0.486,0.076
2lwwrWVKdf3LR9lbbhnr6R,alt-rock,Float On,Modest Mouse,0.106,0.776
4dOXc4Suk5eig0jiCqCN5Y,alt-rock,Love Remains The Same,Gavin Rossdale,-0.782,0.264
3vA3kv3NDvOpFQA3bFkGbw,alt-rock,Detachable Penis,King Missile,0.644,0.53
4ZFb9hUWOfdpq0JmbHDLyE,alt-rock,Girlfriend,Matthew Sweet,0.652,0.168
7oypoJJHZOALqQlGKpTefk,alt-rock,"You're Gonna Go Far, Kid",Various Artists,0.222,0.754
2WqK4182RvloQDTJojmfVa,alt-rock,I Love A Magician,Dismemberment Plan,-0.308,0.988
0E81UOGvTqck6jrS0QCOhF,alt-rock,Man On the Run,Bush,-0.446,0.654
6QU2cUKs4YTZFdGFdCDgrI,alternative,Deconstruction,Fanfarlo,-0.712,0.644
4NwJWJ7rIZBnv8TwNRhGG2,alternative,Left Hand Free,alt-J,0.604,0.754
0Zbm5CKG9HHT9bwgvFc0qI,alternative,Decode - Twilight Soundtrack Version,Paramore,-0.446,0.732
6KtLECDztnah63TNmV4Plw,alternative,Wish You Were Here,Incubus,-0.3,0.536
0UrWr7Jnu1heq1o99ZwUd0,alternative,Youth of the Nation,P.O.D.,0.034,0.72
574GJ55EBM79W6n2V5bL5z,alternative,Slow It Down,The Lumineers,-0.784,-0.872
0ancVQ9wEcHVd0RrGICTE4,alternative,Take Me Out,Franz Ferdinand,-0.02,0.328
3e0yTP5trHBBVvV32jwXqF,alternative,Anna Sun,WALK THE MOON,-0.32,0.688
11nv53N7ZnNTCgyl8yxvYd,alternative,Cannonball,The Breeders,0.49,0.522
1aB3C7GKpCFgsdhqzfZW0U,alternative,Bloodshake,Peace,-0.506,0.682
1ZSGpxA5iWozqbeK83zt3w,ambient,City,Martin Stig Andersen,-0.9376,-0.9518
4GFkGQxGMrfJMDxPGX6qJ3,ambient,Business Car Park 9,The Black Dog,-0.8834,-0.452
1OrIF9k3A1wMADZnr4URUB,ambient,Boa Sorte,Hôtel Costes,-0.346,0.126
2SMn57cBVxoD4TArscpovk,ambient,Islands,The xx,0.414,-0.056
1L37SbwQb40SvA8hyKicDZ,ambient,Sequor,Sync24,-0.9374,-0.496
0WUa9NlbHJwX11vXtMtbBp,ambient,Super Relaxation - Wellness Version,Various Artists,-0.48,-0.11
5loRrMg0iqxgIhDdmMqJyv,ambient,Facing East,Thievery Corporation,0.098,0.908
1v57TDc8H5TKZBXykKHzwG,ambient,Forest,Konami Kukeiha Club,-0.738,0
44SQOW2hynczktADLNPeuH,ambient,Takk...,Sigur Rós,-0.9252,-0.596
1LGYkFYAII9kPkh98W08QU,ambient,Events In Dense Fog - 2005 Digital Remaster,Brian Eno,-0.9484,-0.872
4tfOTcqoFPPN4rEJiPMTfx,anime,夢の終わり,Eir Aoi,-0.338,0.21
5xTpeM7GzFfhKjAJA6rsHa,anime,コネクト,ClariS,0.5,0.848
4kQXQMJrlKBUFwX0S6JW4S,anime,運命の女神 - Team. S ver.,"Wake Up, Girls!",0.764,0.898
2ieISubvw1hO1bunfrEMob,anime,Life is Like a Boat,Various Artists,-0.068,-0.288
3eCAd3r5TH2v8WZNzOUnTR,anime,snowdrop -春奈るなver.-,Luna Haruna,-0.174,0.484
6w8dVh3h8UagcEUi4LXfFC,anime,NEXTAGE,i☆Ris,-0.374,0.97
6OKHlCt9rRE0Fe9S7r8hgN,anime,Gospel of the Throttle,Minutes Til Midnight,-0.26,0.938
4BhbfycCOolFAy811R7yni,anime,どこまでも 〜How Far I'll Go〜,Various Artists,-0.71,-0.312
7i6Y2OrWhKveN8s7XU5r5L,anime,sandpiper,Kalafina,-0.312,0.15
7rJMGiBP7bBwHlYSHiSGan,anime,よってS.O.S,RAMMに這いよる XXX,0.826,0.922
6xTfPsE1ZGN8B4KiN70fuH,black-metal,Ridicule Swarm,Enslaved,-0.69,0.898
2MmwOBhqdT9wxpd5jULLFC,black-metal,Tortured By Solitude,ColdWorld,-0.718,0.148
1RctcGx5m5kJGD7fjbpyiJ,black-metal,"Now, Diabolical",Satyricon,-0.456,0.918
6ZxXst66FpaahJKVJR6nfm,black-metal,Destroyer Of Worlds,Bathory,-0.8468,0.728
2jS3Rq5xWVG80daU05yepW,black-metal,Seven Harmonies Of The Unknown Truth,Burzum,-0.62,0
6HNupgFhT9hhboHa8lN0vB,black-metal,Dance Of The Mortal Lust,Windir,-0.756,0.85
3NAF3vWXUXYSELHLQsPHyu,black-metal,In Blood - Devour This Sanctity,Belphegor,-0.9144,0.762
6czZcJ6fIaCJIHRt0WlmI3,black-metal,Dark Night of the Soul,Mayhem,-0.64,0.858
2ioXUTT3HXCHoTkQBvehd8,black-metal,Total Destruction,Bathory,-0.46,0.942
2P81Yu6PC2mZViMWjPkCUP,black-metal,Thorns Of Crimson Death,Dissection,-0.678,0.886
7bbCWvXoOSDhbSU8G2YC93,bluegrass,Won't Be Coming Back,The Infamous Stringdusters,0.748,0.304
40vYbzh5xpdNnDNNbHzWLb,bluegrass,Momma Cried,Alison Krauss & Union Station,0.44,0.346
0jDbdPGKODhw2aLPBHheNK,bluegrass,Banana Banjo,Steve Martin,0.758,0.18
7AGbSKZwowMhliLrjlDzsC,bluegrass,You Took All The Ramblin' Out Of Me,The Boxcars,0.624,0.358
4Uiz713Fq4FOKLs0UTr5Od,bluegrass,Highway 40 Blues,Ricky Skaggs,0.898,0.504
5KJ1qwSJlg5CJSqaYP9Y6D,bluegrass,The Rambler's Blues,Lester Flatt & Earl Scruggs And The Stanley Brothers,0.704,-0.424
1h70a8Y5zpIMhaoMYaVtri,bluegrass,Gravity,Alison Krauss & Union Station,-0.62,-0.392
1w2pbFjRSU2UgKWchUql3j,bluegrass,Nobody Else,Trampled by Turtles,0.694,0.812
12nv7Xzdayl7IuLtCWT5AC,bluegrass,Life Finds A Way,The Grascals,0.61,0.258
5U6qAR1LJVflpoVAVSW6Rh,bluegrass,Murder in the City,The Avett Brothers,-0.536,-0.492
2wvt1LGGKrc2775wD04Zec,blues,I Feel So Good,Muddy Waters,0.332,-0.098
0AE1Ymr9Cjam8BLt5FcTRO,blues,"Texas Flood - Live at Montreux Casino, Montreux, Switzerland - July 1982",Stevie Ray Vaughan,-0.302,0.03
6ZUzDtrF8d2MCYIp1MkXj1,blues,Crying Won't Help You,B.B. King,0.592,-0.08
6s0NHplywwr1IjnQpUpWJk,blues,Bad To The Bone,George Thorogood & The Destroyers,0.91,0.454
71DcTTRfdZfLByBjaGpTcT,blues,I've Got Dreams To Remember featuring John Mayer,Buddy Guy,-0.436,-0.128
